0,958.705298267,396.087638402,Pluripotent,1,1,0,0,1
1,486.416009135,12.9246987571,Pluripotent,1,0,1,1,1
2,34.7098575106,756.938890724,Pluripotent,0,0,0,0,0
3,437.516117523,708.236985144,Pluripotent,1,0,0,1,0
4,13.6203216744,7.81586284688,Pluripotent,1,0,1,0,0
5,592.563621048,722.21319114,Pluripotent,1,0,1,0,0
6,939.676183495,427.51075804,Pluripotent,0,1,0,1,1
7,894.197561753,524.299558488,Pluripotent,0,1,0,0,1
8,433.418612839,148.526749215,Pluripotent,1,0,0,1,0
9,65.1003291137,328.492733287,Pluripotent,0,0,0,0,0
10,943.267330538,920.600115784,Pluripotent,1,1,0,0,1
11,378.195905741,75.2127133741,Pluripotent,0,0,0,0,0
12,879.628907746,176.66880346,Pluripotent,0,1,1,0,0
13,66.9288175432,929.481771969,Pluripotent,1,0,0,1,1
14,168.526427008,731.060301931,Pluripotent,1,1,0,0,1
15,131.798178948,527.553381163,Pluripotent,0,1,1,0,0
16,216.325284258,777.415213511,Pluripotent,0,1,1,0,0
17,581.654014085,371.518424976,Pluripotent,1,0,1,1,0
18,372.488072612,331.087220555,Pluripotent,1,1,1,0,1
19,185.021397729,480.29431231,Pluripotent,1,1,1,0,1
20,576.367110923,93.6489388101,Pluripotent,0,1,0,1,0
21,92.666736607,352.432862357,Pluripotent,1,0,1,1,1
22,883.36712743,823.273659313,Pluripotent,0,1,1,1,0
23,96.406507423,446.886139257,Pluripotent,0,0,1,1,1
24,157.446972626,767.815180356,Pluripotent,1,1,0,0,1
25,362.230033612,740.74953674,Pluripotent,1,1,0,1,0
26,468.366986606,941.580598399,Pluripotent,1,0,0,1,1
27,989.154368353,980.556679307,Pluripotent,1,0,1,0,0
28,970.984490551,734.646681769,Pluripotent,1,1,1,1,1
29,622.967438421,931.400654045,Pluripotent,1,1,1,1,0
30,880.381378511,402.600800856,Pluripotent,0,0,0,0,1
31,748.861305201,391.829404238,Pluripotent,0,1,1,1,0
32,430.842555347,984.927149641,Pluripotent,1,0,0,0,0
33,13.3158438318,866.038130898,Pluripotent,0,1,0,0,1
34,193.44669854,173.447983307,Pluripotent,1,0,0,0,1
35,227.003063022,99.7068553713,Pluripotent,1,0,1,0,1
36,311.730661904,63.9568317341,Pluripotent,1,0,1,1,0
37,403.75222576,198.81098295,Pluripotent,0,0,0,1,1
38,276.422446247,562.135015348,Pluripotent,0,1,0,1,0
39,78.966491929,354.946358203,Pluripotent,0,0,1,0,1
40,947.895499978,614.274243875,Pluripotent,1,1,0,1,0
41,347.079062919,544.864154166,Pluripotent,0,0,1,0,0
42,508.774893536,35.4893974021,Pluripotent,1,1,1,1,1
43,95.6752237941,371.505406593,Pluripotent,1,1,0,1,1
44,487.363502723,956.112429399,Pluripotent,0,0,0,0,0
45,573.509272455,571.144749901,Pluripotent,0,1,0,0,1
46,21.6441197793,944.454212595,Pluripotent,1,1,0,1,0
47,238.032088763,881.664144556,Pluripotent,0,1,0,1,0
48,21.6047806724,661.97528757,Pluripotent,0,0,0,1,1
49,172.322612173,461.490329762,Pluripotent,0,0,1,0,0
